ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,constraints/CU
efh_elektrizitaet_bedarf,sink,13964255.43,---,---,---,2938.37,---,---,---,---
efh_waerme_bedarf,sink,52203719.64,---,---,---,26445.66,---,---,---,---
elektrizitaets_bus_excess,sink,0.0,---,---,---,0.0,-0.0,---,---,0.0
fernwaerme_bus_excess,sink,0.0,---,---,---,0.0,0.0,---,---,0.0
photovoltaik_elektrizitaets_quelle,source,---,---,170694.1,---,100.0,0.0,0,0,17069410.4
windenergie_elektrizitaets_quelle,source,---,---,534762.57,---,100.0,0.0,0,0,53476256.56
elektrizitaets_bus_shortage,source,---,---,13258798.76,---,2935.77,4110227.62,---,---,6284670613.06
erdgas_bus_shortage,source,---,---,61416140.76,---,31112.54,3930633.01,---,---,0.0
gasheizung_transformer,transformer,61416140.76,---,52203719.64,---,31112.54,0.0,0,0,11902448077.28
bhkw_transformer,transformer,0.0,---,0.0,0.0,0.0,0.0,0,0,0.0
batterie_elektrizitaet_speicher,storage,0.0,---,0.0,---,0.0,0.0,5000.0,100.0,775800.0
thermischer_speicher,storage,0.0,---,0.0,---,0.0,0.0,0.0,100.0,0.0
