ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW
efh_elektrizitaet_bedarf,sink,13964255.43,---,---,---,2938.37,---,---,---
mfh_elektrizitaet_bedarf,sink,13964255.43,---,---,---,2938.37,---,---,---
efh_waerme_bedarf,sink,52203719.64,---,---,---,26445.66,---,---,---
mfh_waerme_bedarf,sink,52203719.64,---,---,---,26445.66,---,---,---
elektrizitaets_bus_excess,sink,0.0,---,---,---,0.0,0.0,---,---
fernwaerme_bus_excess,sink,0.0,---,---,---,0.0,0.0,---,---
photovoltaik_elektrizitaets_quelle,source,---,---,0.0,---,0.0,0.0,0,0
windenergie_elektrizitaets_quelle,source,---,---,0.0,---,0.0,0.0,0,0
elektrizitaets_bus_shortage,source,---,---,13964255.44,---,2938.37,6619057079.08,0,---
erdgas_bus_shortage,source,---,---,61416140.76,---,31112.54,0.0,0,---
gasheizung_transformer,transformer,61416140.76,---,52203719.64,---,31112.54,11902448077.28,0,0
bhkw_transformer,transformer,0.0,---,0.0,0.0,0.0,0.0,0,0
batterie_elektrizitaet_speicher,storage,0.0,---,0.0,---,0.0,0.0,0,0
thermischer_speicher,storage,0.0,---,0.0,---,0.0,0.0,0,0
