id,id,from_node,to_node,length,component_type,street
1,1,forks-0,consumers-0,75.83332786485408,Pipe,01Schloss1
2,2,forks-1,consumers-1,12.375139731574174,Pipe,02Nebengebaeude1
3,3,forks-2,consumers-2,14.02913441425986,Pipe,03Kommende1B1
4,4,forks-3,consumers-3,9.648145020775814,Pipe,05Kommende31
5,5,forks-4,consumers-4,26.677240041843305,Pipe,06Kommende41
6,6,forks-5,consumers-5,30.658433274264524,Pipe,07Kommende51
7,7,forks-6,consumers-6,11.7837740057686,Pipe,08Kommende61
8,8,forks-7,consumers-7,13.301213817304498,Pipe,09Kommende71
9,9,forks-8,consumers-8,15.865262085759793,Pipe,10Kommende81
10,10,forks-9,consumers-9,18.715465262509557,Pipe,11Kommende91
11,11,forks-10,consumers-10,34.16627083857018,Pipe,12Kommende101
12,12,forks-11,consumers-11,17.923953317336,Pipe,13Kommende11121
13,13,forks-12,consumers-12,17.71856724246387,Pipe,14Kommende131
14,14,forks-13,consumers-13,26.451062414409222,Pipe,17Muehle1
15,15,forks-14,consumers-14,13.470878353286187,Pipe,19Hotel1
16,16,forks-15,consumers-15,13.470878353286187,Pipe,20Wohngebauede1
17,17,producers-0,forks-22,40.473166106600175,Pipe,central_heat_input_1_bus
18,18,producers-1,forks-23,23.23828987397963,Pipe,central_heat_input_2_bus
19,19,producers-2,forks-24,75.83332786485408,Pipe,central_heat_input_3_bus
20,20,producers-3,forks-25,9.714188337302396,Pipe,central_heat_input_4_bus
21,21,forks-16,forks-23,5.289111129690553,Pipe,TischSchloss
22,22,forks-23,forks-14,76.54742184191487,Pipe,TischSchloss
23,23,forks-14,forks-15,0.0,Pipe,TischSchloss
24,24,forks-15,forks-13,2.412336197772988,Pipe,TischSchloss
25,25,forks-13,forks-1,58.74724406816226,Pipe,TischSchloss
26,26,forks-1,forks-17,44.011708462959874,Pipe,TischSchloss
27,27,forks-17,forks-0,57.16734698756226,Pipe,SchlossFF
28,28,forks-0,forks-24,0.0,Pipe,SchlossFF
29,29,forks-24,forks-18,226.85804870259392,Pipe,SchlossFF
30,30,forks-18,forks-19,20.0623927940294,Pipe,FFKirche
31,31,forks-19,forks-22,4.223558054085924,Pipe,KircheKommende
32,32,forks-22,forks-2,7.910025908414385,Pipe,KircheKommende
33,33,forks-2,forks-3,11.877356945094547,Pipe,KircheKommende
34,34,forks-3,forks-4,4.769670673167913,Pipe,KircheKommende
35,35,forks-4,forks-5,8.27214330104268,Pipe,KircheKommende
36,36,forks-5,forks-12,12.572094747881025,Pipe,KircheKommende
37,37,forks-12,forks-6,5.007166596300077,Pipe,KircheKommende
38,38,forks-6,forks-11,5.771369561819295,Pipe,KircheKommende
39,39,forks-11,forks-7,0.5437648183881559,Pipe,KircheKommende
40,40,forks-7,forks-8,5.801140605257,Pipe,KircheKommende
41,41,forks-8,forks-9,8.885716537413941,Pipe,KircheKommende
42,42,forks-9,forks-10,4.106363420931958,Pipe,KircheKommende
43,43,forks-10,forks-25,15.335647313516015,Pipe,KircheKommende
44,44,forks-25,forks-20,34.87223626885958,Pipe,KircheKommende
